,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.394,7.59,7.59,7.67,7.55,7.62,496340.0,0.21543,3779833.0,26.172,2.621,437184.0,174873.6
1,603998,方盛制药,-2.195,12.03,12.3,12.35,12.0,12.3,808678.0,0.19019000000000003,9789345.0,75.188,5.186,518416.57341,511511.65416
2,603997,继峰股份,-1.027,11.56,11.6,11.73,11.51,11.68,265550.0,0.15529,3078689.0,19.593,4.416,728280.0,197676.0
3,603996,中新科技,0.386,18.2,18.13,18.28,18.03,18.13,474850.0,0.45979000000000003,8621108.0,46.667,3.846,546273.0,187960.5
4,603993,洛阳钼业,-1.669,6.48,6.5,6.59,6.47,6.59,36383913.0,0.28088,237052666.0,108.0,3.755,13996307.897784,8394017.492952
5,603991,至正股份,-0.732,27.12,27.35,27.35,27.03,27.32,136800.0,0.73155,3716334.0,40.478,4.554,202138.914576,50714.4
6,603990,麦迪科技,-0.737,32.31,32.53,32.57,32.09,32.55,64200.0,0.321,2073724.0,43.08,6.374,261460.9206,64620.0
7,603989,艾华集团,0.08,37.37,37.27,37.67,37.18,37.34,396550.0,0.46999,14837425.0,42.466,6.349,1121100.0,315309.375
8,603988,中电电机,0.933,48.66,48.9,48.9,48.01,48.21,95400.0,0.0795,4629768.0,162.2,5.915,583920.0,583920.0
9,603987,康德莱,0.0,12.15,12.16,12.3,12.1,12.15,446500.0,0.23491,5439415.0,19.597,3.199,383253.525,230936.81175
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0.0,0.0,0.0,77.049,20.619,3306111.821008,2403497.3492
11,603985,恒润股份,-0.381,36.59,36.73,36.73,36.31,36.73,94100.0,0.47050000000000003,3437376.0,23.179,3.0,292720.0,73180.0
12,603980,吉华集团,-0.838,20.11,20.27,20.27,20.04,20.28,631000.0,0.631,12709513.0,21.036,2.594,1005500.0,201100.0
13,603979,金诚信,-0.385,10.35,10.39,10.39,10.31,10.39,464328.0,0.19096000000000002,4807249.0,24.643,1.593,605475.0,251670.9312
14,603978,深圳新星,-1.116,85.96,86.39,86.39,84.3,86.93,242000.0,1.21,20655766.0,38.896,5.303,687680.0,171920.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0.0,0.0,0.0,28.458,3.964,371193.32,211016.72
16,603976,正川股份,0.391,25.7,25.6,25.72,25.35,25.6,252704.0,0.9359400000000001,6435013.0,29.54,2.961,277560.0,69390.0
17,603970,中农立华,-3.871,29.8,30.01,30.21,28.5,31.0,5148034.0,15.44407,152044620.0,36.466,7.893,397333.532,99333.532
18,603969,银龙股份,2.49,12.76,12.58,12.78,12.45,12.45,1569800.0,1.0285,19755141.0,35.444,3.191,510400.0,194756.518
19,603968,醋化股份,-0.544,20.11,20.0,20.22,20.0,20.22,416903.0,0.3052,8386362.0,27.931,3.199,411209.28,274702.6
20,603966,法兰泰克,-0.87,15.96,16.05,16.2,15.93,16.1,286000.0,0.715,4587388.0,33.957,3.189,255360.0,63840.0
21,603963,大理药业,-1.129,24.53,24.62,24.7,24.37,24.81,323170.0,1.29268,7922203.0,29.554,5.356,245300.0,61325.0
22,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0.0,0.0,0.0,54.25,8.141,338520.0,84630.0
23,603959,百利科技,-4.574,27.12,28.28,28.28,27.0,28.42,375786.0,0.35549000000000003,10265396.0,51.17,6.689,607488.0,286687.616376
24,603958,哈森股份,-0.074,13.59,13.6,13.69,13.48,13.6,386000.0,0.58486,5238658.0,32.128,2.6029999999999998,295392.24,89692.635564
25,603955,大千生态,-1.535,39.78,40.02,40.39,39.59,40.4,562967.0,2.58835,22458445.0,37.261,3.336,346086.0,86521.5
26,603939,益丰药房,0.693,40.66,40.38,41.15,40.38,40.38,248700.0,0.12516000000000002,10156789.0,61.327,4.798,1474716.479428,807925.007428
27,603938,三孚股份,0.628,36.87,36.25,37.27,36.01,36.64,1603836.0,4.27045,58672218.0,51.208,5.9510000000000005,553664.2542,138471.1842
28,603937,丽岛新材,-1.679,21.08,21.23,21.34,20.8,21.44,2850601.0,5.45883,59942223.0,37.643,4.29,440319.04,110079.76
29,603936,博敏电子,0.0,28.85,0.0,0.0,0.0,28.85,0.0,0.0,0.0,90.439,4.923,482804.75,161848.5
30,603933,睿能科技,0.158,50.8,50.21,50.95,50.21,50.72,407374.0,1.58697,20590982.0,41.869,5.413,521563.6,130403.6
31,603929,亚翔集成,-1.37,27.35,27.93,27.93,27.08,27.73,932563.0,1.74768,25605405.0,26.553,6.108,583539.6,145939.6
32,603928,兴业股份,-1.07,14.79,14.82,15.14,14.71,14.95,377000.0,0.74802,5619714.0,21.75,2.7279999999999998,298166.4,74541.6
33,603926,铁流股份,-0.98,26.26,26.35,26.48,26.15,26.52,208800.0,0.6960000000000001,5497154.0,21.177,2.7439999999999998,315120.0,78780.0
34,603922,金鸿顺,-1.501,25.6,25.93,25.93,25.51,25.99,457518.0,1.42974,11740871.0,23.063,4.239,327680.0,81920.0
35,603920,世运电路,-1.563,18.27,18.48,18.48,18.17,18.56,1209865.0,1.36246,22146789.0,21.494,3.158,734088.6,162237.6
36,603919,金徽酒,0.288,17.4,17.36,17.45,17.22,17.35,253630.0,0.21895,4397978.0,20.471,3.617,633360.0,201558.903
37,603918,金桥信息,-1.371,18.7,18.99,18.99,18.46,18.96,83200.0,0.06745000000000001,1558379.0,116.875,6.925,331597.75,230653.28
38,603917,合力科技,10.008,27.26,27.26,27.26,27.26,24.78,22418.0,0.08006,611115.0,29.221,5.155,305312.0,76328.0
39,603916,苏博特,-1.872,16.77,16.95,16.96,16.63,17.09,2214375.0,2.91365,37154457.0,28.914,3.1,509808.0,127452.0
40,603912,佳力图,-3.665,24.18,24.73,24.85,23.83,25.1,3686436.0,9.96334,89354579.0,44.778,8.574,357864.0,89466.0
41,603909,合诚股份,-1.246,31.7,31.38,32.4,31.37,32.1,37900.0,0.1516,1208495.0,47.95,5.157,317000.0,79250.0
42,603908,牧高笛,-0.114,35.14,35.2,35.2,34.84,35.18,54800.0,0.32834,1919175.0,36.989,5.241,234348.66,58648.66
43,603906,龙蟠科技,-1.712,14.93,15.06,15.06,14.88,15.19,385200.0,0.74077,5756892.0,26.193,2.665,310544.0,77636.0
44,603903,中持股份,-0.084,35.8,35.84,36.3,35.51,35.83,222657.0,0.86943,7985890.0,58.689,5.374,369942.88,91682.01
45,603901,永创智能,-0.444,8.97,9.0,9.05,8.91,9.01,285000.0,0.18506,2560091.0,40.773,3.834,358800.0,138138.0
46,603900,通灵珠宝,-0.877,28.26,28.16,28.8,28.0,28.51,1624693.0,1.90874,46040359.0,23.949,4.333,962179.07184,240544.76796
47,603899,晨光文具,-1.071,23.1,23.18,23.6,23.08,23.35,631505.0,0.28192,14742499.0,43.113,7.899,2125200.0,517440.0
48,603898,好莱客,1.179,28.32,27.9,28.48,27.9,27.99,441177.0,0.49568000000000006,12434620.0,32.93,4.687,900910.985952,252059.328
49,603896,寿仙谷,-0.255,47.0,46.71,47.4,46.32,47.12,546600.0,1.5639500000000002,25607624.0,61.039,7.901,657060.0,164265.0
50,603889,新澳股份,-0.275,14.49,14.56,14.62,14.45,14.53,617500.0,0.43006000000000005,8979526.0,28.98,2.636,570400.397532,208054.88235
51,603888,新华网,-0.855,23.2,23.06,23.47,23.03,23.4,527065.0,0.29867000000000005,12221593.0,13.647,4.558,1204148.1152,409410.3536
52,603887,城地股份,-0.042,23.8,23.81,23.9,23.68,23.81,70100.0,0.1213,1668911.0,34.493,3.025,245140.0,137544.484
53,603886,元祖股份,-0.052,19.37,19.4,19.49,19.27,19.38,382884.0,0.63817,7424384.0,28.072,3.843,464880.0,116213.888765
54,603885,吉祥航空,1.933,13.71,13.4,13.79,13.35,13.45,1777008.0,0.33091000000000004,24283905.0,13.441,2.88,2463705.476967,736245.476967
55,603883,老百姓,-0.017,57.9,57.46,58.29,57.46,57.91,156900.0,0.18651,9120976.0,52.162,7.561,1649833.09014,487073.56539
56,603882,金域医学,0.634,28.57,28.18,28.58,28.01,28.39,593390.0,0.86399,16770256.0,64.932,7.874,1308176.236489,196218.76
57,603881,数据港,-0.882,41.57,41.81,41.81,41.35,41.94,472210.0,0.8968900000000001,19616738.0,83.14,10.149,875408.113756,218866.05
58,603880,南卫股份,0.895,23.68,23.44,23.8,23.28,23.47,517821.0,2.07128,12237855.0,34.319,4.508,236800.0,59200.0
59,603879,永悦科技,-0.374,15.99,16.03,16.06,15.8,16.05,637647.0,1.7712400000000001,10155755.0,36.341,4.5,230256.0,57564.0
60,603878,武进不锈,-1.373,17.96,18.2,18.22,17.9,18.21,333516.0,0.6604300000000001,6006862.0,22.734,1.822,362792.0,90698.0
61,603877,太平鸟,-0.073,27.47,27.49,27.58,27.16,27.49,168300.0,0.306,4612606.0,26.931,4.38,1321121.3028,151085.0
62,603869,北部湾旅,0.812,21.11,21.3,21.3,21.02,20.94,272264.0,0.24350000000000002,5760178.0,31.044,2.008,736330.031748,236034.253824
63,603868,飞科电器,-0.102,68.25,68.32,68.69,67.8,68.32,169801.0,0.38945,11600225.0,46.747,13.671,2972970.0,297570.0
64,603866,桃李面包,-0.949,38.63,38.6,39.46,38.36,39.0,264199.0,0.44645,10316314.0,39.825,7.626,1738836.738,228602.06442
65,603861,白云电器,-0.968,17.4,17.57,17.75,17.35,17.57,321600.0,0.2656,5620013.0,42.752,3.66,711834.0,210688.44288
66,603860,中公高科,0.672,32.95,32.7,33.17,32.7,32.73,151006.0,0.9053100000000001,4975118.0,30.509,4.155,219710.6,54960.6
67,603859,能科股份,0.492,20.44,20.37,20.5,20.21,20.34,281300.0,0.56384,5735835.0,43.351,3.657,232116.64,101975.16
68,603858,步长制药,-0.191,52.25,52.46,52.49,52.08,52.35,570475.0,0.17401000000000003,29838479.0,18.244,2.8200000000000003,3562405.0,1712938.4602
69,603856,东宏股份,-1.6,19.07,19.35,19.35,19.03,19.38,1286990.0,2.60894,24638360.0,28.894,3.051,376140.494,94072.31
70,603855,华荣股份,-1.025,11.59,11.71,11.71,11.55,11.71,293800.0,0.35496000000000005,3411530.0,25.196,2.823,383710.13,95930.43
71,603848,好太太,9.98,16.64,16.64,16.64,16.64,15.13,91970.0,0.22432000000000002,1530381.0,39.619,8.804,667264.0,68224.0
72,603843,正平股份,-4.356,15.59,16.09,16.09,15.59,16.3,1521900.0,0.78922,24099776.0,57.741,5.053,623604.677,300631.843147
73,603839,安正时尚,-0.662,22.51,22.58,22.63,22.46,22.66,122400.0,0.17177,2760161.0,20.464,2.61,650675.505142,160406.26
74,603838,四通股份,-0.682,11.65,11.5,11.75,11.5,11.73,273400.0,0.28104,3178993.0,52.955,4.548,310682.2,113331.2
75,603833,欧派家居,-2.049,109.0,111.7,111.7,108.8,111.28,174900.0,0.42134000000000005,19157305.0,42.913,7.479,4584501.4576,452459.0
76,603829,洛凯股份,-2.309,16.08,16.45,16.48,16.06,16.46,1242266.0,3.10567,20152867.0,36.545,5.634,257280.0,64320.0
77,603828,柯利达,-1.626,9.68,9.84,9.84,9.68,9.84,231100.0,0.21355000000000002,2248787.0,34.571,3.051,319659.615,104753.088
78,603826,坤彩科技,-2.039,13.93,14.13,14.15,13.88,14.22,1003000.0,1.11444,14028743.0,34.583,4.491,501480.0,125370.0
79,603825,华扬联众,-0.101,29.77,29.4,29.79,29.4,29.8,127000.0,0.3175,3766235.0,34.616,4.187,476320.0,119080.0
80,603823,百合花,-1.054,16.9,16.88,17.05,16.88,17.08,264000.0,0.58667,4472067.0,22.237,3.108,380250.0,76050.0
81,603822,嘉澳环保,-0.405,34.44,34.26,34.77,34.26,34.58,112600.0,0.27734000000000003,3879396.0,53.99,3.896,252617.4,139826.4
82,603819,神力股份,-0.76,16.97,17.12,17.12,16.8,17.1,224483.0,0.40015,3813234.0,34.633,2.758,203640.0,95201.7
83,603818,曲美家居,-0.493,14.13,14.11,14.21,14.02,14.2,668000.0,0.5075700000000001,9431389.0,37.184,4.503,684061.56,185962.104
84,603817,海峡环保,-0.815,12.17,12.27,12.27,12.12,12.27,375600.0,0.33387,4567379.0,41.966,3.93,547650.0,136912.5
85,603816,顾家家居,0.398,55.46,55.29,55.88,54.6,55.24,489876.0,0.5498000000000001,27063319.0,33.21,6.071,2374469.986,494148.6
86,603813,原尚股份,-0.943,27.3,27.3,27.69,27.15,27.56,504760.0,2.28709,13784994.0,44.032,4.369,240977.1,60251.1
87,603811,诚意药业,-1.313,27.8,28.3,28.3,27.7,28.17,158944.0,0.7462200000000001,4434259.0,25.981,4.125,236856.0,59214.0
88,603809,豪能股份,-3.918,36.78,37.56,37.56,36.5,38.28,2269905.0,8.51108,83740714.0,23.302,3.291,392332.26,98092.26
89,603808,歌力思,-0.632,20.45,20.48,20.76,20.31,20.58,567540.0,0.5016,11657494.0,24.991,3.516,689782.518425,231382.893105
90,603806,福斯特,0.554,32.69,32.8,32.8,32.36,32.51,299100.0,0.07440000000000001,9772126.0,15.493,2.731,1314138.0,1314138.0
91,603803,瑞斯康达,-0.055,18.21,18.21,18.32,18.13,18.22,363085.0,0.6392300000000001,6615969.0,26.014,3.178,766742.169297,103432.8
92,603801,志邦股份,-0.021,48.33,48.35,48.8,48.05,48.34,236136.0,0.5903400000000001,11433704.0,32.62,4.773,773280.0,193320.0
93,603800,道森股份,-0.319,15.63,15.77,15.78,15.58,15.68,263800.0,0.39024000000000003,4138302.0,-54.139,3.509,325104.0,105658.8
94,603799,华友钴业,-2.714,81.0,82.61,83.38,80.0,83.26,5076504.0,1.8713700000000002,412194842.0,623.077,9.079,4800680.7192,2197303.2
95,603798,康普顿,-0.83,16.73,16.91,16.91,16.6,16.87,154466.0,0.18087,2582624.0,13.826,4.075,334600.0,142874.2
96,603797,联泰环保,-1.145,19.0,19.1,19.15,18.8,19.22,1032836.0,1.93633,19605171.0,47.5,4.052,405346.0,101346.0
97,603789,星光农机,-0.816,12.15,12.19,12.26,12.11,12.25,277888.0,0.2672,3380734.0,73.193,2.8810000000000002,318281.886,126360.0
98,603788,宁波高发,-0.343,34.91,35.03,35.05,34.66,35.03,65500.0,0.1298,2286680.0,30.894,3.259,573756.319509,176162.842
99,603787,新日股份,0.076,13.1,13.1,13.21,13.04,13.09,239900.0,0.47039000000000003,3145377.0,26.2,3.045,267240.0,66810.0
100,603779,威龙股份,0.177,16.96,16.85,17.03,16.7,16.93,233576.0,0.25223,3938362.0,51.394,4.24,389480.83712,157059.352
101,603778,乾景园林,-0.274,7.29,7.32,7.33,7.24,7.31,715250.0,0.31620000000000004,5201527.0,18.225,3.79,364500.0,164902.783797
102,603777,来伊份,0.457,26.38,26.3,26.5,26.2,26.26,333700.0,0.42782000000000003,8802776.0,38.232,3.391,642931.5134,205764.0
103,603776,永安行,-1.447,62.0,64.0,64.5,61.75,62.91,1079853.0,4.49939,67813423.0,38.272,4.945,595200.0,148800.0
104,603768,常青股份,-0.714,18.08,18.19,18.19,17.93,18.21,326551.0,0.6403,5904817.0,18.639,2.278,368832.0,92208.0
105,603767,中马传动,-1.055,15.0,15.05,15.09,14.87,15.16,380993.0,0.7144100000000001,5712247.0,22.727,2.2880000000000003,319980.0,79995.0
106,603766,隆鑫通用,-0.902,6.59,6.62,6.62,6.5,6.65,1828979.0,0.08803000000000001,12037535.0,6.337,2.195,1392517.97365,1369190.444525
107,603758,秦安股份,-0.504,13.82,13.87,13.87,13.73,13.89,722700.0,1.2045,9962107.0,24.246,2.499,606417.521718,82920.0
108,603757,大元泵业,-2.692,55.66,57.0,57.25,55.58,57.2,407500.0,1.94048,22938214.0,28.398,5.556,466430.8,116886.0
109,603738,泰晶科技,0.636,23.74,23.7,23.78,23.31,23.59,99670.0,0.23756000000000002,2357009.0,21.78,4.729,269107.144,99603.544
110,603737,三棵树,0.696,69.42,68.35,69.48,67.71,68.94,107400.0,0.32904000000000005,7344145.0,46.591,6.76,709341.8904,226589.41383
111,603730,岱美股份,-0.981,34.32,34.4,34.54,34.21,34.66,375388.0,0.7820600000000001,12903998.0,27.902,4.756,1400256.0,164736.0
112,603729,龙韵股份,-3.779,67.99,69.55,70.57,67.58,70.66,249100.0,0.69003,17024439.0,130.75,5.477,453289.33,245443.9
113,603728,鸣志电器,0.831,21.84,21.53,21.87,21.41,21.66,741119.0,0.9264,16110424.0,33.425,4.253,698880.0,174720.0
114,603727,博迈科,-0.229,21.75,21.7,21.88,21.62,21.8,300403.0,0.31665000000000004,6531270.0,16.86,2.126,509265.375,206342.25
115,603726,朗迪集团,-0.265,30.15,30.23,30.23,30.0,30.23,67622.0,0.28557000000000005,2037296.0,39.156,3.608,285580.8,71395.2
116,603725,天安新材,-0.518,17.28,17.39,17.39,17.16,17.37,293612.0,0.80047,5072877.0,26.585,3.322,253463.04,63383.04
117,603722,阿科力,-1.814,38.43,39.28,39.28,37.9,39.14,1359205.0,6.26362,52135392.0,54.127,8.409,333188.1,83393.1
118,603721,中广天择,-0.972,29.56,29.7,29.86,29.33,29.85,136454.0,0.5458200000000001,4029886.0,55.774,5.515,295600.0,73900.0
119,603718,海利生物,-1.278,11.59,11.69,11.85,11.59,11.74,736830.0,0.24164000000000002,8601453.0,89.154,7.179,746396.0,353418.506
120,603717,天域生态,-1.325,26.82,27.0,27.08,26.65,27.18,762240.0,1.7653500000000002,20464249.0,31.609,3.7960000000000003,463212.5112,115803.1278
121,603716,塞力斯,-0.568,43.79,44.03,44.03,43.6,44.04,44160.0,0.11487000000000001,1932748.0,25.608,2.507,312292.764,168340.158537
122,603711,香飘飘,4.281,31.18,32.89,32.89,30.51,29.9,18057890.0,45.13344,570127175.0,42.135,9.09,1247231.18,124751.18
123,603708,家家悦,-2.118,18.49,18.89,18.89,18.41,18.89,2119670.0,1.81168,39392878.0,19.882,3.616,865332.0,216333.0
124,603707,健友股份,0.531,22.74,22.6,22.88,22.59,22.62,682100.0,1.07417,15496047.0,32.028,4.909,963039.0,144399.0
125,603703,盛洋科技,-0.362,19.26,19.15,19.45,19.08,19.33,1096950.0,1.14362,21122896.0,160.5,8.239,442402.2,184739.5125
126,603701,德宏股份,1.385,19.03,18.82,19.15,18.77,18.77,242487.0,0.41408000000000006,4599155.0,20.245,3.9939999999999998,227446.56,111439.68
127,603699,纽威股份,0.705,18.58,18.45,18.59,18.34,18.45,808600.0,0.10781,14943176.0,64.069,5.568,1393500.0,1393500.0
128,603698,航天工程,1.766,20.17,19.7,20.28,19.62,19.82,437464.0,0.4928,8695601.0,50.425,3.367,831609.1,179050.275996
129,603696,安记食品,-0.204,39.06,39.0,39.15,38.61,39.14,27700.0,0.08029,1078773.0,114.882,6.635,468720.0,134757.0
130,603690,至纯科技,-1.105,19.69,20.05,20.11,19.48,19.91,1665899.0,3.20365,32819473.0,67.897,10.43,414277.6,102388.0
131,603689,皖天然气,-0.81,15.91,15.93,16.19,15.77,16.04,1208500.0,1.43869,19280307.0,44.194,2.903,534576.0,133644.0
132,603688,石英股份,-1.51,17.61,17.78,18.18,17.61,17.88,572746.0,0.17028000000000001,10233661.0,48.917,4.731,594052.218,592321.5072
133,603686,龙马环卫,-0.361,27.6,27.52,27.75,27.52,27.7,133368.0,0.12355000000000001,3683322.0,34.937,5.563,751686.0,297928.2
134,603685,晨丰科技,-3.831,35.9,36.89,37.0,35.52,37.33,2183409.0,8.73364,78761671.0,29.187,6.499,359000.0,89750.0
135,603683,晶华新材,-0.995,18.9,19.01,19.01,18.76,19.09,491742.0,1.55271,9286502.0,34.826,3.582,239406.3,59856.3
136,603679,华体科技,-1.29,23.72,23.8,24.0,23.42,24.03,112000.0,0.448,2642307.0,37.01,4.805,237200.0,59300.0
137,603678,火炬电子,-0.228,26.2,26.23,26.39,26.1,26.26,342700.0,0.14374,8980611.0,23.186,4.839,1185984.789,624647.7454
138,603677,奇精机械,-2.339,25.47,25.56,25.88,23.47,26.08,710994.0,2.09116,17893042.0,17.327,4.193,357031.8378,86598.0
139,603676,卫信康,-0.42,11.86,11.85,11.89,11.72,11.91,568600.0,0.9025400000000001,6714031.0,37.063,6.02,501678.0,74718.0
140,603669,灵康药业,0.0,18.8,18.7,18.86,18.7,18.8,132938.0,0.15377000000000002,2498477.0,31.864,3.958,488800.0,162526.0
141,603668,天马科技,-1.16,11.93,12.08,12.08,11.93,12.07,355157.0,0.47865,4253070.0,23.86,4.436,354082.4,88520.6
142,603667,五洲新春,-1.189,22.44,22.71,22.71,22.41,22.71,78000.0,0.08935000000000001,1757211.0,40.8,3.831,454185.6,195895.9266
143,603665,康隆达,-0.335,29.76,29.71,29.87,29.5,29.86,47900.0,0.19160000000000002,1420532.0,23.808,3.224,297600.0,74400.0
144,603663,三祥新材,-0.152,19.68,19.76,19.85,19.51,19.71,148700.0,0.30306000000000005,2920534.0,57.882,5.803,264007.2,96563.6592
145,603661,恒林股份,-1.815,73.02,73.71,73.9,72.78,74.37,774952.0,3.09981,56742665.0,20.744,6.751,730200.0,182550.0
146,603660,苏州科达,2.205,33.37,32.36,33.52,32.36,32.65,1259193.0,0.7421800000000001,41661783.0,39.006,6.844,834250.0,566159.217506
147,603659,璞泰来,-3.896,53.04,54.18,54.68,52.13,55.19,3098748.0,4.86438,165573972.0,55.25,14.816,2295056.1816,337880.1816
148,603658,安图生物,1.98,49.95,48.98,50.14,48.88,48.98,219800.0,0.16098,10913578.0,56.124,13.584,2097900.0,682006.311
149,603656,泰禾光电,-0.844,30.54,30.79,30.85,30.45,30.8,96800.0,0.36410000000000003,2963714.0,20.776,4.047,324774.576,81193.644
150,603648,畅联股份,-1.333,17.77,17.79,17.88,17.51,18.01,2598992.0,2.81988,46047789.0,37.809,4.297,655120.7259,163780.2259
151,603639,海利尔,-0.938,44.37,44.68,44.68,44.2,44.79,176800.0,0.58933,7848567.0,27.221,3.501,532440.0,133110.0
152,603638,艾迪精密,3.32,32.68,31.6,32.8,31.39,31.63,764920.0,1.73845,24769669.0,54.331,7.156,575168.0,143792.0
153,603637,镇海股份,-1.13,22.75,22.78,22.89,22.52,23.01,88030.0,0.26476,1998650.0,28.797,4.268,302567.3014,75641.90725
154,603636,南威软件,-0.648,10.73,10.75,10.85,10.63,10.8,773740.0,0.44742000000000004,8317467.0,21.039,4.777,436815.9394,185557.847224
155,603633,徕木股份,-0.999,16.85,17.1,17.1,16.84,17.02,633742.0,0.7632,10754527.0,31.792,2.9210000000000003,202789.75,139918.43688
156,603630,拉芳家化,-0.745,26.64,26.82,26.84,26.44,26.84,166200.0,0.38119000000000003,4421791.0,23.368,2.801,464601.6,116150.1336
